"On a scale of 1 to 10, how do you feel about your life right now","In general, how would you describe your mental health","Compared to before COVID-Much better now9, how would you say your mental health is now",How would you describe the amount of stress in your life since the start of the COVID-Not at all stressful9 pandemic,How many relatives and friends do you have that you feel close to and can talk about what is on your mind,Since the start of the pandemic how often have you felt that you lacked companionship,Since the start of the pandemic how often have you felt that you were being left out,Since the start of the pandemic how often have you felt isolated from others,"In the past Never drank0 days, did you have a drink of an alchoholic beverage","On the days that you drank in the past 30, how many drinks did you usually have","During the past 2 or 3 times a week0 days, how often have you had 2 to 3 times in the last 30 days or more drinks on one occasion",On average how has your alchohol consumption changed compared to before the pandemic,Did stress cause your alchohol consumption to increase since the pandemic,Did boredom cause your alchohol consumption to increase since the pandemic,Did loneliness cause your alchohol consumption to increase since the pandemic,Did insomnia cause your alchohol consumption to increase since the pandemic,Did convenience cause your alchohol consumption to increase since the pandemic,Did cost contribute to a decrease in consumption of alchohol since the pandemic,Did family responsibilities contribute to a decreased consumption of alchohol since the pandemic,Did a personal choice contribute to a decrease in consumption of alchohol since the pandemic,Did decreased social opportunities contribute to a decrease in consumption of alchohol since the pandemic,Over the course of the pandemic did you ever continue to drink when you knew you had a serious emotional or physical problem that may have been caused or made worse by drinking,"Over the course of the pandemic, has your drinking interferred wirh your ability to maintain close relationships with other people","Over the course of the pandemic, have you ever seen or talked to a medical professional about your use of alcohol",In the past Never used cannabis day in the past 30 days0 days how often did you use Cannabis,"On average, how has your use of cannabis changed compatred to before the pandemic",What was the main reason you use cannabis,"Over the course of the pandemic, did you ever continue to use cannabis when you knew you had a serious emotional or physical problem that might have been caused or made worse by using cannabis ",Over the course of the pandemic has your cannabis use interferred with your ability to maintain close relationships with other people,Over the course of the pandemic have you talked to a medical profesional about your cannabis use,Over the past 3 days have you used any perscribed or non-perscribed drugs containing opioids                opioids,On average how has your opioid use changed compared to before the pandemic,"Over the course of the pandemic, did you ever continue to use opioids when you knew you had a serious emotional or physical problem that might have been caused or made worse by using opioids",Over the course of the pandemic has your opioid use interferred with your ability to maintain close relationships with other people,Over the course of the pandemic have you talked to a medical profesional about your opioid use,What is your age?,Are you a landed immigrant or permenant resident?,What is your Gender?,Do you have any children?,How would you descibe your ethnicity?,VERDATE
7,Good,Somewhat worse now,Very stressful,One or two,Some of the time,Some of the time,Always,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,Yes,Female,No,Korean,NOV
3,Poor,Much worse now,Very stressful,Six to nine,Always,Always,Always,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Female,Yes,Southeast Asian,NOV
8,Good,About the same,A little stressful,One or two,Often,Hardly ever,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Male,Yes,White,NOV
9,Good,Somewhat worse now,Stressful,Three to five,Hardly ever,Hardly ever,Some of the time,Yes,4,Once the last 30 days,Increased,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Not during the past 30 days,Stayed about the same,Non-Medical,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,Korean,NOV
7,Good,About the same,A little stressful,One or two,Hardly ever,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week or 6 days a week,Stayed about the same,Both medical and non-medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Male,Yes,White,NOV
6,Excdllent,About the same,Not at all stressful,One or two,Never,Never,Never,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Female,No,Southeast Asian,NOV
7,Very Good,Somewhat better now,A little stressful,Six to nine,Some of the time,Hardly ever,Often,"No, not in the past Never drank0 days",5,Not in the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Not during the past 30 days,Stayed about the same,Non-Medical,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Korean,NOV
8,Good,Somewhat better now,A little stressful,Three to five,Some of the time,Some of the time,Some of the time,Yes,2,2 to 3 times in the last 30 days,Increased,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days or Never used cannabis day in the past 30 days days in the past Never used cannabis day in the past 30 days0 days,Stayed about the same,Medical with documentation,No,No,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,36-45,No,Female,Yes,Japanese,NOV
10,Excdllent,About the same,A little stressful,Three to five,Hardly ever,Hardly ever,Some of the time,Yes,1,Once a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Male,No,Korean,NOV
7,Good,About the same,Stressful,Three to five,Some of the time,Hardly ever,Hardly ever,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Female,No,Southeast Asian,NOV
6,Fair,Somewhat worse now,Stressful,None,Some of the time,Often,Often,Yes,1,2 or 3 times a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Daily,Increased,Both medical and non-medical,Yes,No,Yes,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,White,NOV
9,Good,Somewhat worse now,Stressful,Three to five,Some of the time,Some of the time,Often,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,Yes,Female,No,White,NOV
10,Very Good,About the same,A little stressful,Six to nine,Often,Some of the time,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Japanese,NOV
11,Excdllent,About the same,Not at all stressful,Six to nine,Hardly ever,Hardly ever,Hardly ever,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,NOV
8,Good,Somewhat better now,A little stressful,One or two,Often,Often,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Male,No,Chinese,NOV
6,Fair,Much worse now,Very stressful,Three to five,Never,Never,Often,"No, not in the past Never drank0 days",5,Not in the last 30 days,Decreased,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Southeast Asian,NOV
10,Good,Somewhat worse now,Stressful,Three to five,Some of the time,Often,Often,Yes,1,Once a week,Increased,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Male,No,Korean,NOV
9,Excdllent,About the same,Not at all stressful,Three to five,Some of the time,Never,Some of the time,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,65+,No,Female,No,West asian,NOV
9,Excdllent,About the same,A little stressful,Six to nine,Never,Never,Hardly ever,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,65+,No,Female,No,Southeast Asian,NOV
11,Excdllent,About the same,A little stressful,Three to five,Never,Never,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Male,No,Chinese,NOV
8,Good,About the same,A little stressful,One or two,Some of the time,Some of the time,Some of the time,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,White,NOV
8,Fair,Somewhat worse now,A little stressful,Three to five,Often,Often,Often,Yes,1,2 to 3 times in the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,26-35,No,Male,No,Korean,NOV
6,Good,Somewhat worse now,Stressful,Three to five,Often,Some of the time,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,0-18,Yes,Male,Yes,Black,NOV
9,Good,About the same,A little stressful,One or two,Some of the time,Hardly ever,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,Yes,Female,Yes,Japanese,NOV
9,Very Good,About the same,A little stressful,Ten or more,Hardly ever,Hardly ever,Hardly ever,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Chinese,NOV
9,Very Good,About the same,A little stressful,Three to five,Some of the time,Never,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Korean,NOV
11,9,About the same,A little stressful,Six to nine,Some of the time,Hardly ever,Hardly ever,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,Yes,Southeast Asian,NOV
8,Good,About the same,A little stressful,Three to five,Hardly ever,Some of the time,Hardly ever,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,No,West asian,NOV
8,Very Good,Much better now,A little stressful,Ten or more,Never,Never,Never,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Yes,Not applicable,Refuse to answer,No,No,26-35,No,Female,Yes,Southeast Asian,NOV
8,Very Good,About the same,A little stressful,One or two,Some of the time,Some of the time,Some of the time,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,Yes,Southeast Asian,NOV
5,Fair,Somewhat worse now,Stressful,Six to nine,Some of the time,Often,Often,Yes,1,Once the last 30 days,Increased,No,No,No,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Female,Yes,White,NOV
3,Fair,Much worse now,Stressful,Three to five,Often,Often,Often,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,65+,Yes,Female,No,Korean,NOV
5,Good,Somewhat worse now,Stressful,Three to five,Often,Some of the time,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Chinese,NOV
5,Good,About the same,Stressful,One or two,Some of the time,Some of the time,Often,"No, not in the past Never drank0 days",5,Not in the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Not during the past 30 days,Stayed about the same,Non-Medical,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,NOV
4,Good,Somewhat worse now,Very stressful,Three to five,Often,Often,Often,"No, not in the past Never drank0 days",5,Not in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Chinese,NOV
6,Good,Somewhat worse now,A little stressful,None,Often,Often,Often,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Not during the past 30 days,Decreased,Medical without documentation,No,No,No,"No, not during the last Never used an opioid0 days",Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Female,No,Japanese,NOV
9,Good,Somewhat worse now,A little stressful,One or two,Some of the time,Never,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,White,NOV
6,Good,Somewhat worse now,Stressful,Three to five,Some of the time,Hardly ever,Often,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Korean,NOV
9,Good,About the same,A little stressful,One or two,Often,Hardly ever,Some of the time,Yes,1,Once a week or 2 to 3 times in the last 30 days times a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,56-65,No,Male,No,Japanese,NOV
1,Good,Somewhat worse now,Stressful,Six to nine,Some of the time,Some of the time,Some of the time,Yes,1,2 or 3 times a week,Increased,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Never used cannabis day in the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Male,Yes,Southeast Asian,NOV
4,Excdllent,About the same,Extremely stressful,One or two,Often,Some of the time,Often,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Yes,Stayed about  the same,No,No,Yes,19-25,Yes,Female,Yes,Southeast Asian,NOV
8,Excdllent,About the same,Not at all stressful,Three to five,Hardly ever,Hardly ever,Hardly ever,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Male,No,Korean,NOV
9,Very Good,About the same,Not at all stressful,Ten or more,Never,Never,Never,Yes,4,Once a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis day in the past 30 days,Stayed about the same,Non-Medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,NOV
6,Fair,Much worse now,Very stressful,None,Some of the time,Some of the time,Often,Yes,3,Once a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Female,No,Southeast Asian,NOV
7,Very Good,About the same,Stressful,One or two,Never,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Japanese,NOV
6,Good,Much worse now,Stressful,Three to five,Some of the time,Never,Some of the time,Yes,3,2 to 3 times in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,No,Korean,NOV
9,Excdllent,About the same,A little stressful,One or two,Some of the time,Some of the time,Some of the time,Yes,1,2 to 3 times in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Japanese,NOV
10,Very Good,About the same,Stressful,One or two,Some of the time,Some of the time,Hardly ever,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,NOV
10,Very Good,Somewhat worse now,A little stressful,One or two,Often,Often,Often,Yes,1,2 or 3 times a week,Increased,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week,Stayed about the same,Non-Medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Male,No,Japanese,NOV
